car,orientation,col,row,length
A,H,2,1,3
B,H,9,1,2
C,V,1,1,2
D,V,7,1,2
E,H,2,3,3
F,H,8,3,2
G,V,6,2,2
H,H,11,3,2
I,V,11,1,2
J,V,12,1,2
K,H,8,4,2
L,H,10,4,2
M,H,3,5,3
N,V,6,6,2
O,V,7,3,3
P,H,8,5,3
Q,V,1,4,3
R,V,2,4,3
S,H,2,7,3
T,V,5,2,2
U,V,6,11,2
V,H,1,8,3
W,V,4,10,2
Y,H,5,8,2
AA,V,8,1,2
AB,V,10,7,2
AC,H,11,8,2
AD,H,1,9,2
AE,H,3,9,3
AF,V,7,6,3
AG,H,8,9,3
AH,V,3,11,2
AI,H,1,10,3
AJ,H,8,10,2
AK,V,12,4,2
AL,H,4,12,2
AM,H,8,12,3
AN,V,7,9,3
AO,H,11,12,2
AP,V,10,10,2
AQ,V,11,9,3
AR,V,12,9,2
AS,H,8,7,2
X,H,11,6,2
